Sample collection date,Tester,Site type,Name of Sampling Location,SARS-CoV-2 Detected,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated
6/27/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,905834.212,4,copies/L,North Andover,MA,Essex,1/5/23
4/8/21,BioBot,Municipal,MWRA Northern,Detected,274870.0909,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/8/22,BioBot,Municipal,MWRA Northern,Detected,598316.5516,7,copies/L,Winthrop,MA,Suffolk,1/5/23
1/10/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,9126548.45,3,copies/L,North Andover,MA,Essex,1/5/23
7/27/21,BioBot,Municipal,MWRA Northern,Detected,192404.4649,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/17/20,BioBot,Municipal,MWRA Northern,Detected,347504.1467,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/21/22,BioBot,Municipal,Amherst WWTP,Detected,840416.5198,4,copies/L,Hadley,MA,Hampshire,1/5/23
8/26/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,258858.5624,7,copies/L,Provincetown,MA,Barnstable,1/5/23
10/19/21,BioBot,Municipal,MWRA Southern,Detected,262846.1679,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/31/22,BioBot,Municipal,New Bedford WWTF,Detected,441700.0601,2,copies/L,New Bedford,MA,Bristol,1/5/23
12/10/20,BioBot,Municipal,MWRA Southern,Detected,965481.6926,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/14/21,BioBot,Municipal,MWRA Northern,Detected,299099.9416,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/4/21,BioBot,Municipal,MWRA Southern,Detected,414809.8436,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/11/21,BioBot,Municipal,MWRA Northern,Detected,49229.18576,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/29/22,BioBot,Municipal,Brockton/ Abington,Detected,1259667.016,4,copies/L,Brockton,MA,Plymouth,1/5/23
7/6/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1091308.148,3,copies/L,Worcester,MA,Worcester,1/5/23
11/26/21,BioBot,Municipal,MWRA Southern,Detected,607056.114,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/6/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,406831.6201,4,copies/L,North Andover,MA,Essex,1/5/23
1/28/22,BioBot,Municipal,MWRA Southern,Detected,1478416.51,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/27/21,BioBot,Municipal,MWRA Southern,Detected,6550842.975,7,copies/L,Winthrop,MA,Suffolk,1/5/23
